pickup_grid,trips,avg_value,lat,lon,cluster
-257_7373,802,0.045471321695760604,-1.2825,36.8675,2
-253_7373,1110,0.04532635135135135,-1.2625,36.8675,2
-262_7365,12697,0.045153362999133646,-1.3075,36.8275,2
-260_7373,1622,0.044893341553637486,-1.2975,36.8675,2
-264_7358,535,0.04478878504672897,-1.3175000000000001,36.792500000000004,2
-264_7372,436,0.044743119266055044,-1.3175000000000001,36.862500000000004,2
-258_7372,2611,0.04469427422443508,-1.2875,36.862500000000004,2
-260_7376,339,0.04461946902654867,-1.2975,36.8825,2
-263_7358,115,0.04461739130434783,-1.3125,36.792500000000004,2
-254_7391,112,0.04459821428571429,-1.2675,36.9575,7
-251_7374,697,0.044554878048780486,-1.2525,36.8725,2
-265_7359,3041,0.04445059191055574,-1.3225,36.7975,2
-251_7378,601,0.044399334442595674,-1.2525,36.8925,2
-265_7358,631,0.04435340729001584,-1.3225,36.792500000000004,2
-252_7363,33758,0.04431961312873985,-1.2575,36.8175,2
-262_7367,2916,0.04386985596707819,-1.3075,36.8375,2
-251_7376,570,0.0433280701754386,-1.2525,36.8825,2
-262_7375,776,0.043270618556701036,-1.3075,36.8775,2
-260_7360,13670,0.04326223482077542,-1.2975,36.8025,2
-255_7360,2114,0.04293472090823084,-1.2725,36.8025,2
-251_7370,214,0.04286915887850467,-1.2525,36.8525,2
-243_7359,2529,0.04282839066824832,-1.2125000000000001,36.7975,2
-263_7364,20977,0.04282185250512466,-1.3125,36.8225,2
-253_7363,22582,0.04281514037729165,-1.2625,36.8175,2
-263_7369,2311,0.04269309822587625,-1.3125,36.847500000000004,2
-240_7381,152,0.04258552631578947,-1.1975,36.9075,5
-267_7362,473,0.04248202959830867,-1.3325,36.8125,2
-246_7360,4422,0.04223852329262777,-1.2275,36.8025,2
-265_7370,7021,0.04221022646346674,-1.3225,36.8525,2
-262_7366,11455,0.0421443474465299,-1.3075,36.8325,2
-251_7379,232,0.04213362068965518,-1.2525,36.8975,7
-261_7360,9698,0.04202900082491236,-1.3025,36.8025,2
-262_7360,4893,0.0420076129164112,-1.3075,36.8025,2
